index,count,mean,std,min,25%,50%,75%,max,mode,median,dataset
AQI,18832.0,74.83719201359388,33.477932474377,1.0,52.0,74.0,96.0,292.0,61.0,74.0,Dansoman
PM2.5,18832.0,24.576377226483114,15.786335445821816,0.30985916,12.75862,22.805555,33.492346999999995,242.68628,16.0,22.805555,Dansoman
PM10,18832.0,28.29183046253717,18.221676993105525,1.1690141,14.5,24.864864,39.0,264.19608,27.0,24.864864,Dansoman
Humidity,18832.0,96.27055245518268,8.326086411002574,45.307144,99.68804,100.0,100.0,100.0,100.0,100.0,Dansoman
Temperature,18832.0,26.014498893903994,2.083145203575459,20.88555,24.667313,25.488632,27.047934,35.422806,24.504684,25.488632,Dansoman
Pressure,18832.0,101219.55497169711,182.11506310306902,100482.31,101095.99,101222.11,101350.36,101703.266,101202.62,101222.11,Dansoman
AQI,21071.0,87.71520098713872,31.49651664931391,2.0,65.0,88.0,108.0,242.0,94.0,88.0,Kanda
PM2.5,21071.0,29.95969660298515,15.689126271517614,0.4084507,18.970589,29.513514,38.390244,191.51852,32.0,29.513514,Kanda
PM10,21071.0,34.41671001468369,18.5343753023519,1.3802817,20.4058275,32.019608,45.915071,203.05556,19.0,32.019608,Kanda
Humidity,21071.0,87.49257299221678,13.131951038974258,40.52374,78.292305,91.08313,100.0,100.0,100.0,91.08313,Kanda
Temperature,21071.0,26.80700137957382,2.4245356441193913,21.768353,25.125193,26.173271,28.003605,39.504375,24.903307,26.173271,Kanda
Pressure,21071.0,101096.88778463291,186.4128298789988,100336.23,100973.27,101099.695,101226.445,101609.03,101168.48,101099.695,Kanda
AQI,20378.0,91.59623122975758,35.03991917987016,2.0,68.0,89.0,111.0,319.0,95.0,89.0,Kawukudi
PM2.5,20378.0,32.651531912764256,22.059553892844825,0.64788735,20.03035775,30.25,39.577778,272.65,32.0,30.25,Kawukudi
PM10,20378.0,37.8328460326136,25.625805952901093,1.3521127,21.897436,33.837208,48.019608,313.68332,24.0,33.837208,Kawukudi
Humidity,20378.0,89.00680106457945,12.246224190052104,40.12427,79.7585875,93.65143499999999,100.0,100.0,100.0,93.65143499999999,Kawukudi
Temperature,20378.0,26.466782907939937,2.5429403333929836,20.495115,24.64036,25.820559,27.9654,42.960014,24.618092,25.820559,Kawukudi
Pressure,20378.0,100952.97067312787,197.76250597365413,100208.58,100820.67775,100955.5625,101090.57,101490.695,101073.1,100955.5625,Kawukudi
AQI,22698.0,96.99911886509824,32.359344811824585,3.0,74.0,95.0,118.0,240.0,97.0,95.0,Korle_Bu
PM2.5,22698.0,34.51757018796546,17.920996016169806,0.73239434,23.131578,33.204082,42.210372,189.82608,31.0,33.204082,Korle_Bu
PM10,22698.0,39.93334565039651,20.33432724233392,1.887324,25.268293,38.4399035,51.136364,203.76086,43.0,38.4399035,Korle_Bu
Humidity,22698.0,84.00894917552208,15.550486983439757,37.42503,71.78770875000001,88.14659,100.0,100.0,100.0,88.14659,Korle_Bu
Temperature,22698.0,27.621819225262136,3.47061531532159,20.838905,25.015125,26.483582,29.803889,40.679726,24.543327,26.483582,Korle_Bu
Pressure,22698.0,101285.34587998943,186.65420730155006,100559.86,101161.11,101286.87,101414.005,101815.42,101177.03,101286.87,Korle_Bu
AQI,22536.0,81.16018814341498,33.51198582200582,2.0,59.0,80.0,101.0,287.0,90.0,80.0,Kwashieman
PM2.5,22536.0,27.33051001267217,16.773920149697137,0.4084507,15.744186,25.775,35.56818,236.91489,29.0,25.775,Kwashieman
PM10,22536.0,31.539125137291443,19.47577633045651,1.3239436,17.441177,27.941177,42.54054,268.36734,23.0,27.941177,Kwashieman
Humidity,22536.0,80.37394439306,14.38485327716566,34.52367,70.77867,81.22487,92.105316,100.0,100.0,81.22487,Kwashieman
Temperature,22536.0,27.290250637335816,3.149942606475395,20.158024,25.054115,26.46956,28.930784,40.195248,24.624073,26.46956,Kwashieman
Pressure,22536.0,100857.70915255591,224.4958073115611,100041.336,100707.77,100849.78,101002.3,101631.195,100722.28,100849.78,Kwashieman
